2022-07-04 03:35:24 INFO  DAGScheduler:54 - Final stage: ResultStage 1 (load at NativeMethodAccessorImpl.java:0)
2022-07-04 03:35:24 INFO  DAGScheduler:54 - Parents of final stage: List()
2022-07-04 03:35:24 INFO  DAGScheduler:54 - Missing parents: List()
2022-07-04 03:35:24 INFO  DAGScheduler:54 - Submitting ResultStage 1 (MapPartitionsRDD[8] at load at NativeMethodAccessorImpl.java:0), which has no missing parents
2022-07-04 03:35:24 INFO  MemoryStore:54 - Block broadcast_3 stored as values in memory (estimated size 13.2 KB, free 365.7 MB)
2022-07-04 03:35:24 INFO  MemoryStore:54 - Block broadcast_3_piece0 stored as bytes in memory (estimated size 7.2 KB, free 365.7 MB)
2022-07-04 03:35:24 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on 192.168.1.10:37137 (size: 7.2 KB, free: 366.2 MB)
2022-07-04 03:35:24 INFO  SparkContext:54 - Created broadcast 3 from broadcast at DAGScheduler.scala:1161
2022-07-04 03:35:24 INFO  DAGScheduler:54 - Submitting 4 missing tasks from ResultStage 1 (MapPartitionsRDD[8] at load at NativeMethodAccessorImpl.java:0) (first 15 tasks are for partitions Vector(0, 1, 2, 3))
2022-07-04 03:35:24 INFO  TaskSchedulerImpl:54 - Adding task set 1.0 with 4 tasks
2022-07-04 03:35:24 INFO  TaskSetManager:54 - Starting task 0.0 in stage 1.0 (TID 1, localhost, executor driver, partition 0, PROCESS_LOCAL, 8332 bytes)
2022-07-04 03:35:24 INFO  TaskSetManager:54 - Starting task 1.0 in stage 1.0 (TID 2, localhost, executor driver, partition 1, PROCESS_LOCAL, 8332 bytes)
2022-07-04 03:35:24 INFO  TaskSetManager:54 - Starting task 2.0 in stage 1.0 (TID 3, localhost, executor driver, partition 2, PROCESS_LOCAL, 8332 bytes)
2022-07-04 03:35:24 INFO  TaskSetManager:54 - Starting task 3.0 in stage 1.0 (TID 4, localhost, executor driver, partition 3, PROCESS_LOCAL, 8332 bytes)
2022-07-04 03:35:24 INFO  Executor:54 - Running task 0.0 in stage 1.0 (TID 1)
2022-07-04 03:35:24 INFO  Executor:54 - Running task 2.0 in stage 1.0 (TID 3)
2022-07-04 03:35:24 INFO  Executor:54 - Running task 1.0 in stage 1.0 (TID 2)
2022-07-04 03:35:24 INFO  Executor:54 - Running task 3.0 in stage 1.0 (TID 4)
2022-07-04 03:35:24 INFO  FileScanRDD:54 - Reading File path: file:///home/rahul/bcg/Case_study/Data/Charges_use.csv, range: 0-5168134, partition values: [empty row]
2022-07-04 03:35:24 INFO  FileScanRDD:54 - Reading File path: file:///home/rahul/bcg/Case_study/Data/Charges_use.csv, range: 0-5168134, partition values: [empty row]
2022-07-04 03:35:24 INFO  FileScanRDD:54 - Reading File path: file:///home/rahul/bcg/Case_study/Data/Charges_use.csv, range: 5168134-6141964, partition values: [empty row]
2022-07-04 03:35:24 INFO  FileScanRDD:54 - Reading File path: file:///home/rahul/bcg/Case_study/Data/Charges_use.csv, range: 5168134-6141964, partition values: [empty row]
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 14
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 15
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 31
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 28
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 22
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 21
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 25
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 27
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 26
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 19
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 18
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 8
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 29
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 11
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 13
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 16
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 30
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 7
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 12
2022-07-04 03:35:24 INFO  BlockManagerInfo:54 - Removed broadcast_1_piece0 on 192.168.1.10:37137 in memory (size: 4.5 KB, free: 366.2 MB)
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 17
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 24
2022-07-04 03:35:24 INFO  ContextCleaner:54 - Cleaned accumulator 9
